ExperimentNumber,ColonyID,Size,MinorAxisLength,Eccentricity,MeanIntensity,Radius,Type
1,34,77,9.62812392302751,0.392062000632861,0.723720879401104,4.95074350336915,3
1,35,122,9.1259561715518,0.847681083893391,0.665428919596257,6.2316776324215,3
1,36,58,8.38046915027765,0.353004521884776,0.691638051941771,4.29673985699156,3
1,37,32,5.73003781255703,0.619979838381862,0.705426016830295,3.19153824321146,3
1,38,20,4.61880215351701,0.6,0.658134642356241,2.52313252202016,3
1,39,121,11.29961641693,0.56878645039851,0.702131605484914,6.20608541902532,3
1,40,48,6.42910050732864,0.747737327616531,0.659624824684432,3.90882009522336,3
1,41,24,5.39547135207955,0.400320384512718,0.723059841047218,2.76395319577068,3
1,42,43,6.56733745531013,0.635453506916336,0.727779771029714,3.69963851016596,3
1,43,73,8.7782555651287,0.578718106520878,0.674210839785587,4.82043791490117,3
1,44,59,7.33206523483845,0.731658366454458,0.664891720350869,4.33362242065961,3
1,45,56,7.61023676683741,0.602642255306476,0.750450811460629,4.22200824564475,3
1,46,68,8.26784479232855,0.634873282959599,0.628475373319033,4.65242649168128,3
1,47,38,5.56172248939603,0.783637709127185,0.643721857237765,3.47789816915102,3
1,48,93,9.51585453130195,0.652718792426522,0.656004463949087,5.44084730672462,3
1,49,19,4.44818285707316,0.619000533211531,0.703181516202849,2.45924537968297,3
1,50,51,6.8715446786921,0.705574157881763,0.680499408739653,4.0291195310357,3
1,51,37,6.32545451698455,0.581738840007286,0.636518706644934,3.43183125878885,3
1,52,31,5.81594186275442,0.548210875645195,0.691806542098358,3.14127465715711,3
1,53,97,10.0757644512246,0.599422191002596,0.592429259264615,5.55662298161641,3
1,54,56,7.6853587894335,0.581166982643572,0.801743137647766,4.22200824564475,3
1,55,18,4.15688076761653,0.67890716429134,0.66004363409693,2.3936536824086,3
1,56,123,11.5460392479357,0.561398772190801,0.607179101244028,6.25716517287232,3
1,57,73,8.17128940130447,0.707475510159563,0.740955637956541,4.82043791490117,3
